iter	Passed	Remaining
714	186007	74142
715	186265	73881
716	186528	73622
717	186811	73371
718	187067	73109
719	187331	72851
720	187600	72594
721	187874	72339
722	188136	72079
723	188403	71822
724	188667	71563
725	188925	71302
726	189199	71047
727	189464	70788
728	189752	70539
729	190055	70294
730	190328	70038
731	190595	69780
732	190855	69520
733	191120	69261
734	191398	69007
735	191659	68747
736	191923	68488
737	192191	68230
738	192462	67974
739	192737	67718
740	193029	67469
741	193296	67210
742	193579	66958
743	193857	66703
744	194116	66442
745	194385	66184
746	194652	65926
747	194912	65665
748	195183	65408
749	195447	65149
750	195725	64894
751	196027	64647
752	196288	64386
753	196564	64131
754	196836	63873
755	197107	63616
756	197375	63358
757	197637	63098
758	197914	62842
759	198179	62582
760	198463	62329
761	198767	62082
762	199028	61821
763	199286	61559
764	199547	61298
765	199806	61037
766	200069	60777
767	200341	60519
768	200598	60257
769	200874	60001
770	201143	59743
771	201426	59488
772	201716	59236
773	202023	58988
774	202301	58732
775	202556	58469
776	202868	58223
777	203141	57965
778	203413	57707
779	203702	57454
780	203969	57195
781	204227	56933
782	204482	56670
783	204769	56416
784	205063	56163
785	205325	55902
786	205579	55639
787	205852	55381
788	206123	55122
789	206370	54857
790	206632	54597
791	206905	54338
792	207177	54080
793	207444	53820
794	207696	53556
795	207988	53303
796	208248	53041
797	208532	52786
798	208818	52531
799	209079	52269
800	209341	52008
801	209597	51746
802	209851	51482
803	210117	51222
804	210374	50960
805	210639	50699
806	210923	50443
807	211179	50181
808	211449	49921
809	211710	49660
810	211962	49396
811	212234	49138
812	212482	48873
813	212748	48613
814	213000	48349
815	213269	48090
816	213548	47832
817	213802	47569
818	214076	47311
819	214340	47050
820	214605	46789
821	214874	46530
822	215144	46270
823	215402	46008
824	215664	45747
825	215931	45486
826	216196	45226
827	216462	44965
828	216729	44705
829	217030	44451
830	217272	44186
831	217528	43923
832	217798	43664
833	218069	43404
834	218349	43146
835	218657	42894
836	218934	42636
837	219197	42374
838	219451	42111
839	219726	41852
840	220022	41597
841	220289	41337
842	220569	41078
843	220829	40816
844	221095	40555
845	221366	40296
846	221626	40034
847	221894	39773
848	222167	39513
849	222444	39254
850	222710	38994
851	222999	38737
852	223262	38475
853	223530	38214
854	223810	37956
855	224074	37694
856	224325	37431
857	224598	37171
858	224875	36912
859	225149	36652
860	225417	36391
861	225660	36126
862	225969	35872
863	226218	35608
864	226481	35346
865	226754	35086
866	227033	34827
867	227298	34566
868	227575	34306
869	227842	34045
870	228124	33786
871	228386	33524
